FILING_SEQ_NO,AGE,AGEGRP,SALARIES,INCOME_HP,PRFT_GAIN_BP_OTHR_SPECLTV_BUS,PRFT_GAIN_BP_SPECLTV_BUS,PRFT_GAIN_BP_SPCFD_BUS,PRFT_GAIN_BP_INC_115BBF,TOTAL_PROFTS_GAINS_BP,SHORT_TERM_15PER,SHORT_TERM_30PER,SHORT_TERM_APPRATE,TOTAL_SCTG,LONG_TERM_10PER,LONG_TERM_20PER,TOTAL_LTCG,TOTAL_CAP_GAIN,INCOME_OS_NOT_RACEHORSE,INC_CHARBLE_SPL_RATE,INCOME_OS_RACEHORSE,TOTAL_INCOME_OS,TOTAL_INCOME_ALL,CYL_SET_OFF,BAL_AFTR_CYL_SET_OFF,BFL_SET_OFF_BALANCE,GROSS_TOTAL_INCOME,INC_CHG_TAX_SPL_RATES,DEDUCT_SEC_10A_OR_10AA,PARTB_CHAPTER_VIA,PARTC_CHAPTER_VIA,TI.TOTAL_DEDUC_VIA,TOTAL_INCOME,INC_SPL_111A_112,NET_AGRC_INCOME,AGGREGATE_INCOME,CY_LOSS_CARRYFWD,TAX_PAYBLE_TI_SEC115JC,SURCHARGE_ON_DEEMED_TI,EDUCATION_CESS,TOTAL_TAX_PAYBL_SEC115JC,TAX_NORMAL_RATE,TAX_SI_RATE,REBATE_AGRC_INCOME,TAX_PAYABL_TOT_INCOM,REBATE_87A,TAX_PAYABLE_ON_REBATE,SURCHARGE_25OFSI,SURCHARGE_ON_ABOVE_CRORE,TOTAL_SURCHARGE,EDUCATION_CESS.1,GROSS_TAX_LIABILITY,GROSS_TAX_PAYABLE,CRDEDIT_US115JD_EY,TAX_PAYBLE_AFTR_CRDT_SEC115JD,RELIEF_89,RELIEF_90,RELIEF_91,TOTAL_RELIEF,NET_TAX_LIABILTY,INT_PAYABLE_234A,INT_PAYABLE_234B,INT_PAYABLE_234C,TOTAL_INT_PAYABLE,AGGREGATE_LIABILTY,ADVANCE_TAX,TOTAL_TDS,TOTAL_TCS,SELF_ASSESMNT_TAX,TOTAL_TAX_PAID,TAX_PAYBL,REFUND_AMOUNT,Unnamed: 70
267415492,80.92526018,2,0,0,285255,0,0,0,285255,0,0,0,0,0,0,0,0,45,0,0,45,285300,0,285300,0,285300,0,0,45,0,45,285260,0,0,285260,0,0,0,0,0,3526,0,0,3526,3526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
267437526,60.82845301,1,0,0,288302,0,0,0,288302,0,0,0,0,0,0,0,0,9007,0,0,9007,297309,0,297309,0,297309,0,0,9007,0,9007,288300,0,0,288300,0,0,0,0,0,3830,0,0,3830,3830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
267437815,40.79024077,0,0,0,408412,0,0,0,408412,0,0,0,0,0,0,0,0,0,0,0,0,408412,0,408412,0,408412,0,0,83400,0,83400,325010,0,0,325010,0,0,0,75,0,7501,0,0,7501,5000,2501,0,0,0,75,2576,2576,0,2576,0,0,0,0,2576,0,0,0,0,2576,0,0,0,2576,2576,0,0,
267438857,82.09964189,2,0,0,217034,0,0,0,217034,0,0,0,0,0,0,0,0,87830,0,0,87830,304864,0,304864,0,304864,0,0,0,0,0,304860,0,56920,361780,0,0,0,15,0,11178,0,5692,5486,5000,486,0,0,0,15,501,501,0,501,0,0,0,0,501,0,0,0,0,501,0,0,0,500,500,0,0,
267485353,91.8399364,2,0,0,250450,0,0,0,250450,0,0,0,0,0,0,0,0,0,0,0,0,250450,0,250450,0,250450,0,0,0,0,0,250450,0,0,250450,0,0,0,0,0,45,0,0,45,45,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
267497731,47.48352749,0,0,0,173627,0,0,0,173627,0,0,0,0,0,0,0,0,468,0,0,468,174095,0,174095,0,174095,0,0,468,0,468,173630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
267502092,51.03865629,0,0,0,329220,0,0,0,329220,0,0,0,0,0,0,0,0,0,0,0,0,329220,0,329220,0,329220,0,0,9800,0,9800,319420,0,0,319420,0,0,0,58,0,6942,0,0,6942,5000,1942,0,0,0,58,2000,2000,0,2000,,,,,2000,0,0,0,0,2000,0,0,0,2000,2000,0,0,
267537591,94.54307438,2,160000,0,914836,0,0,0,914836,207157,0,0,207157,0,0,0,207157,8403,0,0,8403,1290396,74000,1216396,0,1216396,207157,0,154231,0,154231,1062170,207157,0,855013,0,0,0,3813,0,96003,31074,0,127077,0,127077,0,0,0,3813,130890,130890,0,130890,0,0,0,0,130890,0,0,3612,3612,134502,150000,34000,0,0,184000,0,49500,
267548753,61.17055196,1,0,0,0,0,0,0,0,0,0,0,0,0,1604152,1604152,1604152,114947,0,0,114947,1719099,311903,1407196,0,1407196,1292249,0,114947,0,114947,1292250,1292249,0,0,0,0,0,6254,0,0,208450,0,208450,0,208450,0,0,0,6254,214704,214704,0,214704,0,0,0,0,214704,0,0,0,0,214704,330000,3188,0,0,333188,0,118480,
267566687,31.86070982,0,0,0,360156,0,0,0,360156,0,0,0,0,0,0,0,0,814,0,0,814,360970,0,360970,0,360970,0,0,50914,0,50914,310060,0,0,310060,0,0,0,30,0,6006,0,0,6006,5000,1006,0,0,0,30,1036,1036,0,1036,0,0,0,0,1036,0,0,0,0,1036,0,0,0,1050,1050,0,10,
267575919,25.4922068,0,0,0,370150,0,0,0,370150,0,0,0,0,0,0,0,0,0,0,0,0,370150,801,369349,0,369349,0,0,30505,0,30505,338840,0,0,338840,0,0,0,117,0,8884,0,0,8884,5000,3884,0,0,0,117,4001,4001,0,4001,0,0,0,0,4001,0,0,0,0,4001,0,0,0,4000,4000,0,0,
267576422,46.81745581,0,0,107904,0,0,0,0,0,0,0,0,0,0,0,0,0,291752,0,0,291752,399656,0,399656,0,399656,0,0,31202,0,31202,368450,0,0,368450,0,0,0,55,0,6845,0,0,6845,5000,1845,0,0,0,55,1900,1900,0,1900,0,0,0,0,1900,0,0,0,0,1900,0,200,0,1700,1900,0,0,
267589771,80.42674564,2,0,0,476508,0,0,0,476508,0,0,0,0,0,0,0,0,11099,0,0,11099,487607,37993,449614,0,449614,0,0,152797,0,152797,296820,0,0,296820,0,0,0,0,0,4682,0,0,4682,4682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
267600012,70.64585316,1,0,0,329130,0,0,0,329130,0,0,0,0,0,0,0,0,0,0,0,0,329130,0,329130,0,329130,0,0,0,0,0,329130,0,110100,439230,0,0,0,87,0,18923,0,11010,7913,5000,2913,0,0,0,87,3000,3000,0,3000,0,0,0,0,3000,0,0,0,0,3000,0,0,0,3000,3000,0,0,
267646979,86.3011756,2,0,0,258219,0,0,0,258219,0,0,0,0,0,0,0,0,1141,0,0,1141,259360,0,259360,0,259360,0,0,1141,0,1141,258220,0,0,258220,0,0,0,0,0,822,0,0,822,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
267659398,26.75739999,0,0,0,277925,0,0,0,277925,0,0,0,0,0,0,0,0,2894,0,0,2894,280819,0,280819,0,280819,0,0,2894,0,2894,277930,0,0,277930,0,0,0,0,0,2793,0,0,2793,2793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
267669568,59.02057792,0,0,0,371200,0,0,0,371200,0,0,0,0,0,0,0,0,1850,0,0,1850,373050,0,373050,0,373050,0,0,63350,0,63350,309700,0,0,309700,0,0,0,29,0,5970,0,0,5970,5000,970,0,0,0,29,999,999,0,999,,,,,999,0,0,0,0,999,0,0,0,1000,1000,0,0,
267679409,76.85291088,1,0,0,68370,0,0,0,68370,0,0,0,0,0,0,0,0,232391,0,0,232391,300761,0,300761,0,300761,0,0,6641,0,6641,294120,0,190000,484120,0,0,0,0,0,23412,0,19000,4412,4412,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
267687089,31.11080574,0,0,0,853304,0,0,0,853304,0,0,0,0,0,0,0,0,0,0,0,0,853304,0,853304,0,853304,0,0,38580,0,38580,814720,0,0,814720,0,0,0,2638,0,87944,0,0,87944,0,87944,0,0,0,2638,90582,90582,0,90582,0,0,0,0,90582,0,672,1695,2367,92949,0,56930,0,36019,92949,0,0,
267702895,95.34252779,2,0,0,318216,0,0,0,318216,0,0,0,0,0,0,0,0,0,0,0,0,318216,0,318216,0,318216,0,0,25000,0,25000,293220,0,0,293220,0,0,0,0,0,4322,0,0,4322,4322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
267711539,51.47682296,0,0,0,211550,0,0,0,211550,0,0,0,0,0,0,0,0,81000,0,0,81000,292550,0,292550,0,292550,0,0,0,0,0,292550,0,0,292550,0,0,0,0,0,4255,0,0,4255,4255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,106,0,110,
267721237,48.02103603,0,0,0,222915,0,0,0,222915,0,0,0,0,0,0,0,0,1902,0,0,1902,224817,0,224817,0,224817,0,0,1799,0,1799,223020,0,139920,362940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
267728754,53.1827094,0,0,0,268048,0,0,0,268048,0,0,0,0,0,0,0,0,0,0,0,0,268048,0,268048,0,268048,0,0,4769,0,4769,263280,0,0,263280,0,0,0,0,0,1328,0,0,1328,1328,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
267732448,26.7588841,0,0,0,356229,0,0,0,356229,0,0,0,0,0,0,0,0,26856,0,0,26856,383085,0,383085,0,383085,0,0,72720,0,72720,310370,0,0,310370,0,0,0,31,0,6037,0,0,6037,5000,1037,0,0,0,31,1068,1068,0,1068,,,,,1068,0,0,0,0,1068,0,2277,0,0,2277,0,1210,
267753758,66.88404467,1,0,0,305000,0,0,0,305000,0,0,0,0,0,0,0,0,0,0,0,0,305000,0,305000,0,305000,0,0,0,0,0,305000,0,0,305000,0,0,0,15,0,5500,0,0,5500,5000,500,0,0,0,15,515,515,0,515,0,0,0,0,515,0,0,0,0,515,0,0,0,520,520,0,0,
267764491,43.81586409,0,0,0,400500,0,0,0,400500,0,0,0,0,0,0,0,0,7800,0,0,7800,408300,0,408300,0,408300,0,0,75000,0,75000,333300,0,0,333300,0,0,0,100,0,8330,0,0,8330,5000,3330,0,0,0,100,3430,3430,0,3430,,,,,3430,0,0,0,0,3430,0,0,0,3430,3430,0,0,
267767075,42.28884803,0,0,0,299582,0,0,0,299582,0,0,0,0,0,0,0,0,1345,0,0,1345,300927,0,300927,0,300927,0,0,820,0,820,300110,0,0,300110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
267791162,39.54738997,0,0,0,275881,0,0,0,275881,0,0,0,0,0,0,0,0,14382,0,0,14382,290263,0,290263,0,290263,0,0,4039,0,4039,286220,0,0,286220,0,0,0,0,0,3622,0,0,3622,3622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
267792569,65.42856072,1,0,0,839438,0,0,0,839438,0,0,0,0,0,0,0,0,0,0,0,0,839438,73410,766028,0,766028,0,0,150000,0,150000,616030,0,0,616030,0,0,0,1296,0,43206,0,0,43206,0,43206,0,0,0,1296,44502,44502,0,44502,0,0,0,0,44502,0,890,2242,3132,47634,0,0,0,54912,54912,0,7280,
267837129,46.7356557,0,0,0,41854,0,0,0,41854,0,0,0,0,0,0,0,0,5829,0,0,5829,47683,0,47683,0,47683,0,0,0,0,0,47680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
267902462,45.77447102,0,0,0,42745,0,0,0,42745,0,0,0,0,0,0,0,0,44439,0,0,44439,87184,0,87184,0,87184,0,0,10000,0,10000,77180,0,229306,306486,0,0,0,0,0,25862,0,25862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
267905509,65.57744802,1,0,0,1013099,0,0,0,1013099,0,0,0,0,0,0,0,0,27609,0,0,27609,1040708,0,1040708,0,1040708,0,0,160000,0,160000,880710,0,0,880710,0,0,0,3034,0,101142,0,0,101142,0,101142,0,0,0,3034,104176,104176,0,104176,0,0,0,0,104176,0,2082,5256,7338,111514,0,0,0,111510,111510,0,0,
267934779,75.74276942,1,0,0,402516,0,0,0,402516,0,0,0,0,0,0,0,0,289142,0,0,289142,691658,0,691658,0,691658,0,0,115741,0,115741,575920,0,0,575920,0,0,0,1056,0,35184,0,0,35184,0,35184,0,0,0,1056,36240,36240,0,36240,0,0,0,0,36240,0,724,1826,2550,38790,0,0,0,38790,38790,0,0,
267937500,70.83568165,1,0,0,646344,0,0,0,646344,0,0,29319,29319,0,8300,8300,37619,169689,0,0,169689,853652,0,853652,0,853652,8300,0,145816,0,145816,707840,8300,0,699540,0,0,0,1997,0,64908,1660,0,66568,0,66568,0,0,0,1997,68565,68565,0,68565,0,0,0,0,68565,0,974,2215,3189,71754,0,19799,0,51955,71754,0,0,
267987108,90.53881454,2,0,0,564024,0,0,0,564024,0,0,0,0,0,0,0,0,0,0,0,0,564024,0,564024,0,564024,0,0,235000,0,235000,329020,0,0,329020,0,0,0,87,0,7902,0,0,7902,5000,2902,0,0,0,87,2989,2989,0,2989,0,0,0,0,2989,0,0,0,0,2989,0,0,0,0,0,2990,0,
268012455,89.82080971,2,0,0,855100,18193,0,0,873293,26383,0,0,26383,0,0,0,26383,24128,0,0,24128,923804,0,923804,26383,897421,0,0,160000,0,160000,737420,0,0,737420,0,0,0,2175,0,72484,0,0,72484,0,72484,0,0,0,2175,74659,74659,0,74659,,,,,74659,0,0,333,333,74992,105000,0,0,0,105000,0,30010,
268070843,79.05931489,1,0,0,344880,0,0,0,344880,0,0,0,0,0,0,0,0,499864,0,0,499864,844744,0,844744,0,844744,0,0,154774,0,154774,689970,0,0,689970,0,0,0,1890,0,62994,0,0,62994,0,62994,0,0,0,1890,64884,64884,0,64884,0,0,0,0,64884,0,88,1433,1521,66405,30000,30471,0,5930,66401,0,0,
268136595,92.05949257,2,0,0,703320,0,0,0,703320,0,0,0,0,0,0,0,0,22020,0,0,22020,725340,43350,681990,0,681990,0,0,160000,0,160000,521990,0,0,521990,0,0,0,882,0,29398,0,0,29398,0,29398,0,0,0,882,30280,30280,0,30280,,,,,30280,0,244,617,861,31141,0,18000,0,13140,31140,0,0,
268138071,38.43988147,0,0,0,70965,0,0,0,70965,0,0,0,0,0,0,0,0,0,0,0,0,70965,0,70965,0,70965,0,0,0,0,0,70970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,3586,0,0,3586,0,3590,
268146287,36.79070775,0,0,0,1138176,0,0,0,1138176,0,0,0,0,0,0,0,0,0,0,0,0,1138176,0,1138176,0,1138176,0,0,70173,0,70173,1068000,0,0,1068000,0,0,0,4362,0,145400,0,0,145400,0,145400,0,0,0,4362,149762,149762,0,149762,0,0,0,0,149762,0,0,219,219,149981,150000,0,0,0,150000,0,20,
268166957,70.51519975,1,0,0,230058,0,0,0,230058,0,0,0,0,0,0,0,0,0,0,0,0,230058,0,230058,0,230058,0,0,0,0,0,230060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14265,0,0,14265,0,14270,
268197510,83.42595137,2,72000,0,927525,0,0,0,927525,0,0,0,0,0,0,0,0,264,0,0,264,999789,0,999789,0,999789,0,0,164978,0,164978,834810,0,0,834810,0,0,0,2759,0,91962,0,0,91962,0,91962,0,0,0,2759,94721,94721,0,94721,,,,,94721,0,694,2381,3075,97796,60000,0,0,37800,97800,0,0,
268207188,98.14623131,2,0,0,405327,0,0,0,405327,0,0,0,0,0,175314,175314,175314,9216,0,0,9216,589857,25316,564541,0,564541,149998,0,152423,0,152423,412120,149998,0,262122,0,0,0,786,0,1212,30000,0,31212,5000,26212,0,0,0,786,26998,26998,0,26998,,,,,26998,0,138,1107,1245,28243,20000,0,0,8240,28240,0,0,
268222104,52.80493317,0,0,74200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74200,43063,31137,0,31137,0,0,0,0,0,31140,0,0,31140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
268240905,42.95377283,0,0,0,649930,0,0,0,649930,0,0,0,0,0,0,0,0,309421,0,0,309421,959351,0,959351,0,959351,0,0,160203,0,160203,799150,0,0,799150,0,0,0,2395,0,79830,0,0,79830,0,79830,0,0,0,2395,82225,82225,0,82225,,,,,82225,0,0,339,339,82564,21000,63330,0,0,84330,0,1770,
268305869,41.45524873,0,56050,0,2069961,0,0,0,2069961,0,0,0,0,0,140724,140724,140724,15115,0,0,15115,2281850,13071,2268779,0,2268779,140724,0,161533,0,161533,2107250,140724,0,1966526,0,0,0,13293,0,414956,28145,0,443101,0,443101,0,0,0,13293,456394,456394,0,456394,0,0,0,0,456394,0,6926,18640,25566,481960,110000,0,0,372850,482850,0,890,
268377825,68.85250066,1,0,29400,508454,0,0,0,508454,0,0,0,0,0,53636,53636,53636,19474,0,0,19474,610964,0,610964,0,610964,53636,0,111146,0,111146,499820,53636,0,446184,0,0,0,760,0,19618,10727,0,30345,5000,25345,0,0,0,760,26105,26105,0,26105,,,,,26105,0,522,1314,1836,27941,0,0,0,27940,27940,0,0,
268469599,92.62215057,2,0,0,597912,0,0,0,597912,0,0,0,0,0,0,0,0,586,0,0,586,598498,0,598498,0,598498,0,0,12979,0,12979,585520,0,0,585520,0,0,0,1263,0,42104,0,0,42104,0,42104,0,0,0,1263,43367,43367,0,43367,0,0,0,0,43367,0,866,2188,3054,46421,0,0,0,46420,46420,0,0,
268472521,57.22788491,0,0,52500,468365,0,0,0,468365,0,0,0,0,0,0,0,0,14474,0,0,14474,535339,0,535339,0,535339,0,0,36304,0,36304,499040,0,0,499040,0,0,0,597,0,24904,0,0,24904,5000,19904,0,0,0,597,20501,20501,0,20501,,,,,20501,0,350,820,1170,21671,3000,0,0,18670,21670,0,0,
268527911,35.20225023,0,0,0,627410,0,0,0,627410,18368,0,0,18368,0,0,0,18368,12052,0,0,12052,657830,0,657830,4316,653514,14052,0,153655,0,153655,499860,14052,54110,539918,0,0,0,740,0,32984,2108,5411,29681,5000,24681,0,0,0,740,25421,25421,0,25421,0,0,0,0,25421,0,0,0,0,25421,30000,0,0,0,30000,,4580,
268532882,21.97684736,0,0,0,611890,0,0,0,611890,0,0,0,0,0,0,0,0,16293,0,0,16293,628183,0,628183,0,628183,0,0,160000,0,160000,468180,0,0,468180,0,0,0,505,0,21818,0,0,21818,5000,16818,0,0,0,505,17323,17323,0,17323,,,,,17323,0,0,306,306,17629,18000,0,0,0,18000,0,370,
268559295,84.7553022,2,731760,0,91480,0,0,0,91480,0,0,0,0,0,0,0,0,250165,0,0,250165,1073405,0,1073405,0,1073405,0,0,154356,0,154356,919050,0,0,919050,0,0,0,3264,0,108812,0,0,108812,0,108812,0,0,0,3264,112076,112076,0,112076,0,0,0,0,112076,0,960,2424,3384,115460,0,64032,0,51430,115462,0,0,
